Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.toe_angle_l.avg,Roll.rear.camber_angle_gain_roll_l.avg,Heave.rear.roll_center_gnd.z.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Roll.rear.roll_center.y.avg,Roll.rear.side_view_swing_arm_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.toe_angle_l.std_dev,Roll.rear.camber_angle_gain_roll_l.std_dev,Heave.rear.roll_center_gnd.z.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Roll.rear.roll_center.y.std_dev,Roll.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.toe_angle_l.best,Roll.rear.camber_angle_gain_roll_l.best,Heave.rear.roll_center_gnd.z.best,Heave.rear.motion_ratio_heave_l.best,Heave.rear.side_view_swing_arm_angle_l.best,Roll.rear.roll_center.y.best,Roll.rear.side_view_swing_arm_angle_l.best,
101,218.707,641.372,785.295,0.340999,4.8468,81.1546,62.3558,76.5974,28.6507,186.406,20.2088,181.151,1.65311,90.4193,31.6014,32.0449,56.0808,352.935,16.1405,342.392,2.34912,23.3427,3.82824,30.0255,3.31885,1.85456,11.8907,0.902143,
102,218.707,534.411,588.723,0.409249,4.60566,65.8619,61.3238,74.3731,25.3347,137.038,30.2774,135.597,1.22851,50.6088,29.5938,28.6119,36.0181,258.028,59.538,260.372,2.34912,24.6458,3.82824,31.0972,3.82133,1.85456,11.2529,0.902143,
103,218.707,532.814,488.303,0.410475,4.62888,67.0764,62.8695,75.6302,39.8833,133.497,18.5826,130.646,1.78049,64.2692,29.1971,28.4437,80.1237,228.749,17.028,228.023,2.34912,24.6458,3.82824,31.0972,4.61382,1.85456,10.7579,0.902143,
104,218.707,656.667,936.686,0.333056,4.61879,89.4135,62.4096,76.0202,82.1626,161.918,21.2365,158.887,1.47831,108.892,29.8437,29.4827,362.59,285.786,16.6854,289.982,2.16732,24.6458,3.82824,29.7769,5.18389,1.85456,10.7707,0.902143,
105,218.707,541.551,699.32,0.403853,5.11749,74.3689,57.8603,69.8909,38.6295,133.98,27.2241,134.48,1.69742,70.1112,26.228,27.0551,87.8926,300.016,44.8564,303.397,2.35436,24.7556,3.82824,31.0972,2.56703,1.85456,10.7791,0.902143,
106,218.707,667.244,974.118,0.327777,4.99168,96.8358,51.9861,67.1707,32.6059,187.331,48.8227,177.499,1.72977,97.3794,21.9365,27.8997,65.6702,401.51,109.325,373.13,2.35436,24.7556,3.82824,31.0972,5.18389,2.4975,11.9119,1.62025,
107,218.707,568.583,576.032,0.384653,5.17651,90.7299,52.822,66.7983,48.6449,133.621,41.4273,129.363,1.68179,88.517,25.2244,23.8074,90.0737,223.48,77.6391,235.313,2.11448,24.7556,3.82824,31.0972,5.18389,2.4975,10.7759,1.62025,
108,218.707,530.116,540.481,0.412565,5.35547,90.7873,45.477,58.23,30.6956,134.011,33.3364,132.223,1.64808,61.0969,20.7599,18.0681,45.4761,236.115,60.4749,235.117,3.65061,24.7556,3.82824,31.0972,4.81111,4.70995,10.8012,1.85634,
109,218.707,657.698,887.798,0.332534,5.20267,95.9682,51.4409,63.7836,30.2285,177.899,58.2513,174.924,1.53676,77.6615,22.79,22.6608,56.7791,327.553,222.66,327.828,2.52938,24.8815,3.82824,31.0972,2.73508,4.70995,11.8394,1.85634,
110,215.433,642.816,947.498,0.335139,5.28461,105.852,48.221,59.8413,26.8238,188.482,22.0675,186.244,1.68661,97.3067,20.753,21.8796,43.987,405.748,37.0186,402.952,2.73343,27.1385,3.82824,30.7072,3.2388,4.70995,13.098,1.85634,
