Generation,Best fitness,Average fitness,Fitness standard deviation,Selection pressure,Heave.rear.toe_angle_l.avg,Heave.rear.tie_rod_angle_top_view_l.avg,Heave.rear.roll_center.z.avg,Heave.rear.side_view_swing_arm_angle_l.avg,Heave.rear.motion_ratio_heave_l.avg,Heave.rear.toe_angle_l.std_dev,Heave.rear.tie_rod_angle_top_view_l.std_dev,Heave.rear.roll_center.z.std_dev,Heave.rear.side_view_swing_arm_angle_l.std_dev,Heave.rear.motion_ratio_heave_l.std_dev,Heave.rear.toe_angle_l.best,Heave.rear.tie_rod_angle_top_view_l.best,Heave.rear.roll_center.z.best,Heave.rear.side_view_swing_arm_angle_l.best,Heave.rear.motion_ratio_heave_l.best,
167,8.95179,30.4636,56.3665,0.293852,6.47661,3.80232,8.82297,10.7849,0.576779,4.66178,1.64487,26.4799,32.6362,0.855101,1.2273,3.23209,0.224991,0.106094,0.298542,
168,8.95179,42.9827,59.6296,0.208265,6.46117,4.53144,15.4691,15.61,0.910939,5.10583,2.61927,30.5317,35.0531,1.36661,0.299187,2.04165,0.224991,0.106256,0.261742,
169,8.95179,41.0319,67.2064,0.218167,7.5134,4.34712,14.6427,13.5138,1.01479,6.42794,2.094,33.4654,34.8319,1.63111,0.108365,3.40627,0.22504,0.106699,0.298542,
170,8.95169,32.7142,57.5002,0.273633,7.33134,4.06887,8.50401,12.0043,0.805631,6.00936,1.82788,22.9092,34.8892,1.48101,2.22908,3.40732,0.22528,0.106754,0.298542,
171,8.95165,36.9143,63.1203,0.242498,5.82697,3.72553,10.6234,15.8169,0.921518,4.04726,1.11916,25.3322,38.7661,1.56453,0.171671,2.55101,0.22528,0.106639,0.214274,
172,8.95165,36.3611,62.7817,0.246188,6.94434,4.41514,11.0011,13.3743,0.62625,5.73405,2.47488,26.6068,33.8074,1.02851,0.57013,3.40742,0.225282,0.106639,0.298542,
173,8.95165,36.0964,65.7976,0.247993,5.80222,4.05678,12.4231,13.2387,0.575607,4.21848,2.01768,31.5129,33.743,0.977945,0.368525,3.18207,0.225282,0.106639,0.29857,
174,8.95157,40.3153,68.6465,0.222039,6.25641,3.67025,14.8395,14.776,0.773144,4.95299,1.26716,31.9432,37.7486,1.13772,0.0536239,2.13466,0.225232,0.106639,0.29857,
175,8.95156,47.0092,69.8788,0.190421,6.67816,3.77423,17.9738,17.6852,0.89788,5.29779,1.29593,32.0468,37.6481,1.2936,0.0478756,2.56725,0.225232,0.106893,0.298575,
176,8.95156,30.0552,51.4234,0.297838,6.24553,4.05352,10.1893,8.96381,0.602999,4.8633,1.76606,24.5663,25.5737,1.02164,0.324455,3.40742,0.225232,0.106728,0.274359,
177,8.95153,34.3731,57.3981,0.260422,5.7096,3.84816,11.6973,12.2838,0.83423,3.7951,1.46145,27.0513,31.9671,1.44566,0.133906,3.02133,0.225247,0.106728,0.298571,
178,8.95153,39.0682,63.1688,0.229126,5.69601,3.84587,12.3806,16.38,0.765749,3.40326,1.50874,27.7435,37.5053,1.29509,0.262993,2.48309,0.225247,0.106728,0.238282,
